baseMean	log2FoldChange	foldChange	baseMeanB	pval	padj	getSymbol(res$id)
ENSG00000203950	0	NA	NA	0	NA	NA	FAM127B
ENSG00000063515	0	NA	NA	0	NA	NA	GSC2
ENSG00000125975	0.297766077440459	Inf	Inf	0.595532154880917	0.743063018051059	1	C20orf173
ENSG00000149313	3046.46600457884	0.358837897107997	1.28239250355427	3423.39467074222	0.01345918639301	0.0460239729181234	AASDHPPT
ENSG00000185522	10.0173009341993	-0.737445540244853	0.599800429235029	7.51141366174308	0.449018302794746	0.780872140703648	LMNTD2
ENSG00000148730	6306.04701890248	-0.697013345955051	0.616847878596828	4811.67310472974	8.5468214670111e-07	5.99084110983247e-06	EIF4EBP2
ENSG00000066382	82.2665541938142	1.81882130127063	3.52792844855871	128.195716960871	8.18843552877401e-13	1.04496818486787e-11	MPPED2
ENSG00000178163	17.2497897449871	4.53941717885125	23.2541641426522	33.0771606720317	1.07460939281377e-12	1.36014636712789e-11	ZNF518B
ENSG00000144410	0.883718682149924	-Inf	0	0	0.170594201901319	0.388375814235371	CPO
ENSG00000107362	652.680603304478	-0.490807020190284	0.711626913894505	542.717667872563	0.00146563663836111	0.00622744647622175	ABHD17B
ENSG00000203791	488.100878455956	0.0265055884231272	1.0185420824374	492.584513850454	0.881077845705637	1	METTL10
ENSG00000100652	5.40055904709693	-1.15808291078315	0.448107596580931	3.34233663368916	0.18757894745901	0.415281494744115	SLC10A1
ENSG00000170961	0.671582195647625	-1.75327168452547	0.296628333888495	0.30727434000569	0.690133210873677	1	HAS2
ENSG00000121864	1083.68442349176	0.140527629362373	1.10230818361158	1136.42159392181	0.363466571847024	0.676288229435913	ZNF639
ENSG00000279588	0.355813307539985	-Inf	0	0	0.636525341008383	0.952614268907897	NA
ENSG00000151287	9.69022453941107	-0.353284863312952	0.782799715468172	8.5096547261695	0.606553099175436	0.938109861770812	TEX30
ENSG00000114019	1055.33840365142	-0.121319772468718	0.919346251035714	1010.991533651	0.455009609446999	0.787517947673297	AMOTL2
ENSG00000100644	10467.1123469425	0.746100823930178	1.67725358103286	13114.933745058	1.472210245545e-07	1.13545170671981e-06	HIF1A
ENSG00000196616	15.6448280351138	-2.19505085318595	0.218385526028338	5.60841199617427	1.66258818654198e-05	9.78011640985634e-05	ADH1B
ENSG00000047346	733.770944981881	1.00723527996199	2.01005542127834	979.995421686275	1.41878626074458e-10	1.49131181938892e-09	FAM214A
ENSG00000171224	49.7811669717047	-0.562122019119131	0.677305201736933	40.2038261176973	0.0652643981566992	0.178904934491459	C10orf35
ENSG00000167113	432.294455125058	-0.43516999717628	0.739606599378288	367.586363490919	0.0167106170071551	0.055696057546016	COQ4
ENSG00000127152	2.49757736890208	2.58960718625275	6.01934783206896	4.28352812272419	0.0772681332502101	0.206353492260176	BCL11B
ENSG00000137561	83.6695791219179	-4.20848659258335	0.0540902886804699	8.5869526302976	4.51163803759668e-43	2.82060926202341e-41	TTPA
ENSG00000173960	1833.98434855202	0.384267427408457	1.30519686511197	2076.79496586358	0.00966515741708404	0.0342949650707116	UBXN2A
ENSG00000267673	133.101704153151	0.166425097894262	1.12227411595259	140.770314482409	0.517127272348952	0.849941946219103	FDX1L
ENSG00000115839	4347.38405027319	0.35347260554805	1.27763222406187	4877.30889502092	0.0150993121344233	0.0508781467583654	RAB3GAP1
ENSG00000275778	36.5257049276473	0.401079388914584	1.32049550350946	41.5704568671015	0.206420656958611	0.449202315664517	NA
ENSG00000263353	0	NA	NA	0	NA	NA	PPIAL4A
ENSG00000112149	270.667357576957	-3.19179076624877	0.109439787089644	53.3995234893182	2.08814200231499e-57	2.1721356133885e-55	CD83
ENSG00000100263	136.991315901465	-0.75662261437562	0.591880316919537	101.870049662888	0.0419617990428166	0.123478079972586	RHBDD3
ENSG00000171970	460.728703393944	-0.779685761232544	0.582493654524917	339.175510014962	1.4725892670299e-06	1.0015764655755e-05	ZNF57
ENSG00000178700	355.339237163773	0.767465240659149	1.70227632100531	447.685948802564	6.97530836746967e-06	4.33676630728869e-05	DHFRL1
ENSG00000273841	2899.00118368408	-0.115488113025868	0.923069951787679	2783.03020685036	0.413745977060359	0.734318036900854	TAF9
ENSG00000196235	3221.64030343353	0.609949277404784	1.52620554934091	3892.70406785655	2.09271223584065e-05	0.000121221278412383	SUPT5H
ENSG00000148795	4.3096067918247	0.0978724748395196	1.07019409582388	4.45573268056085	1	1	CYP17A1
ENSG00000185345	7.39509449947842	-0.839961858670321	0.558658338401496	5.30113765616857	0.231799795531884	0.490518958736796	PARK2
ENSG00000117448	1924.23526950681	-1.39020440085152	0.381510746016489	1062.77339542608	1.47448400930922e-20	3.26125301785033e-19	AKR1A1
ENSG00000091732	813.036362011792	-0.247721709241523	0.842225400233915	743.405096155075	0.10370118941399	0.261993834279744	ZC3HC1
ENSG00000137872	0.950355552829755	0.809695377600021	1.75284129434537	1.21025680683605	0.883955064589901	1	SEMA6D
ENSG00000120053	5454.43486176774	2.30975808231406	4.95799935009816	9077.90783809053	9.15894844497781e-54	8.69889282487713e-52	GOT1
ENSG00000162004	10.1336254652078	1.50408834622927	2.83645376178879	14.9844423293377	0.0449270216992757	0.13075312522134	CCDC78
ENSG00000182968	0	NA	NA	0	NA	NA	SOX1
ENSG00000019995	1901.07110119035	0.177294649670126	1.13076148527988	2017.73684840404	0.23877950744604	0.502739300857021	ZRANB1
ENSG00000160446	148.158922345845	-2.39149551015835	0.190584736900767	47.4335481711075	1.03725993605424e-05	6.28892816086698e-05	ZDHHC12
ENSG00000185614	0.78822383472496	1.7246455105428	3.3049890928387	1.21025680683605	0.640715542009644	0.952614268907897	FAM212A
ENSG00000177992	0.183095431306937	-Inf	0	0	0.969090655706147	1	SPATA31E1
ENSG00000160014	7492.08808124554	-1.96832115446066	0.255550238969247	3049.82602864662	5.93967695790181e-41	3.4627290974669e-39	CALM3
ENSG00000131368	1275.63274080085	-0.266145794658945	0.83153806125647	1158.30208347745	0.0746130816739134	0.200204581000177	MRPS25
ENSG00000124575	0.336732601309782	-0.25306849792321	0.83910979594729	0.30727434000569	1	1	HIST1H1D
ENSG00000128591	4.23846201957154	0.439094968975596	1.35575356970049	4.87853236177386	0.791594318485404	1	FLNC
ENSG00000112541	0.509562268386839	0.834340655699308	1.78304196204995	0.652933674159804	1	1	PDE10A
ENSG00000134321	1.34458648562878	-0.124351313135907	0.917416453459658	1.2866748512454	1	1	RSAD2
ENSG00000167531	0	NA	NA	0	NA	NA	LALBA
ENSG00000118434	0	NA	NA	0	NA	NA	SPACA1
ENSG00000135248	0.144128907437614	Inf	Inf	0.288257814875227	1	1	FAM71F1
